CustomerID,Female,Male,Is Under 30,Is Not Under 30,Is Senior Citizen,Is Not Senior Citizen,Is Married,Is Not Married,Has Dependents,Does Not Have Dependents,Has Referred A Friend,Has Not Referred A Friend,Cable Internet,DSL Internet,Fiber Optic Internet,No Internet,Has Online Security,Does Not Have Online Security,Has Device Protection,Does Not Have Device Protection,Has Tech Support,Does Not Have Tech Support,Streams TV,Does Not Stream TV,Streams Movies,Does Not Stream Movies,Streams Music,Does Not Stream Music,Has Online Backup,Does Not Have Online Backup,Has Unlimited Data,Does Not Have Unlimited Data,Has Multiple Lines,Does Not Have Multiple Lines,Month-to-Month Contract,One Year Contract,Two Year Contract,Pays With Credit Card,Pays With Bank Withdrawal,Has Phone Service,Does Not Have Phone Service,Satisfaction Score Of 1,Satisfaction Score Of 2,Satisfaction Score Of 3,Satisfaction Score Of 4,Satisfaction Score Of 5,Did Churn,Did Not Churn,Churn Score,Age,Tenure in Months,Monthly Charge,Total Revenue
0002-ORFBO,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,65,37,9,"65,6","974,81"
0003-MKNFE,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,66,46,9,"59,9","610,28"
0004-TLHLJ,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,71,50,4,"73,9","415,45"
0011-IGKFF,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,91,78,13,98,"1599,51"
0013-EXCHZ,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,68,75,3,"83,9","289,54"
0013-MHZWF,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,55,23,9,"69,4","722,38"
0013-SMEOE,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,26,67,71,"109,7","8611,41"
0014-BMAQU,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,49,52,63,"84,65","6214,28"
0015-UOCOJ,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,34,68,7,"48,2","414,06"
0016-QLJIS,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,25,43,65,"90,45","7807,8"
0017-DINOC,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,54,47,54,"45,2","2460,55"
0017-IUDMW,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,52,25,72,"116,8","9609,47"
0018-NYROU,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,57,58,5,"68,95","444,75"
0019-EFAEP,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,53,32,72,"101,3","7423,25"
0019-GFNTW,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,37,39,56,"45,05","2560,1"
0020-INWCK,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,26,58,71,"95,75","8784,86"
